quote,author,tags
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,"{'author_name': 'Albert Einstein', 'author_dob': 'March 14, 1879', 'author_birth_place': 'Ulm, Germany'}","['change', 'deep-thoughts', 'thinking', 'world']"
"It is our choices, Harry, that show what we truly are, far more than our abilities.","{'author_name': 'J.K. Rowling', 'author_dob': 'July 31, 1965', 'author_birth_place': 'Yate, South Gloucestershire, England, The United Kingdom'}","['abilities', 'choices']"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"{'author_name': 'Albert Einstein', 'author_dob': 'March 14, 1879', 'author_birth_place': 'Ulm, Germany'}","['inspirational', 'life', 'live', 'miracle', 'miracles']"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","{'author_name': 'Jane Austen', 'author_dob': 'December 16, 1775', 'author_birth_place': 'Steventon Rectory, Hampshire, The United Kingdom'}","['aliteracy', 'books', 'classic', 'humor']"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","{'author_name': 'Marilyn Monroe', 'author_dob': 'June 01, 1926', 'author_birth_place': 'The United States'}","['be-yourself', 'inspirational']"
Try not to become a man of success. Rather become a man of value.,"{'author_name': 'Albert Einstein', 'author_dob': 'March 14, 1879', 'author_birth_place': 'Ulm, Germany'}","['adulthood', 'success', 'value']"
It is better to be hated for what you are than to be loved for what you are not.,"{'author_name': 'André Gide', 'author_dob': 'November 22, 1869', 'author_birth_place': 'Paris, France'}","['life', 'love']"
"I have not failed. I've just found 10,000 ways that won't work.","{'author_name': 'Thomas A. Edison', 'author_dob': 'February 11, 1847', 'author_birth_place': 'Milan, Ohio, The United States'}","['edison', 'failure', 'inspirational', 'paraphrased']"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,"{'author_name': 'Eleanor Roosevelt', 'author_dob': 'October 11, 1884', 'author_birth_place': 'The United States'}",['misattributed-eleanor-roosevelt']
"A day without sunshine is like, you know, night.","{'author_name': 'Steve Martin', 'author_dob': 'August 14, 1945', 'author_birth_place': 'Waco, Texas, The United States'}","['humor', 'obvious', 'simile']"
