Category,Name,Fat(g),Carbs(g),Prot(g),Calories,Net Carbs(g),Sugar(g),Fiber(g),Total Carbs(g),Trans(g),Mono(g),Poly(g),Sat(g),Total Fat(g),Cholesterol(mg),Iron,Calcium,Vitamin A,Vitamin C,Vitamin D,Sodium(mg)
Vegetable Soups,Barley Soup,0.76,17.91,4.78,95,14.21,0.20,3.7,17.91,0.00,0.23,0.15,0.30,0.76,0.00,0.95,20,0.00,0.00,0.00,722
Vegetable Soups,Broccoli Soup,11.90,17.92,8.15,206,15.82,10.31,2.1,17.92,0.00,4.75,2.64,3.77,11.90,14,2.56,792,706,133.5,0.00,789
Vegetable Soups,Butternut Squash Soup,2.06,17.91,2.22,90,15.71,4.34,2.2,17.91,0.00,0.40,0.12,1.31,2.06,3,1.09,41,218,8.1,0.00,485
Vegetable Soups,Cabbage Soup,3.26,7.69,3.92,71,5.99,4.04,1.7,7.69,0.00,1.41,0.98,0.62,3.26,0.00,8.63,539,539,212.1,0.00,316
Vegetable Soups,Chunky Vegetable Soup,3.70,19.01,3.50,122,17.81,3.94,1.2,19.01,0.00,1.58,1.39,0.55,3.70,0.00,1.63,55,290,6.0,0.00,1010
Vegetable Soups,French Onion Soup,16.53,39.33,15.91,369,36.43,3.57,2.9,39.33,0.00,6.51,1.37,7.66,16.53,36,44.07,7310,2074,67.4,0.00,930
Vegetable Soups,Hot and Sour Soup,7.91,4.95,15.10,163,4.75,1.59,0.2,4.95,0.00,3.37,1.11,2.69,7.91,34,13.85,332,0.00,5.5,0.00,1554
Vegetable Soups,Leek Soup,2.06,11.43,2.11,71,8.43,1.93,3.0,11.43,0.00,0.86,0.08,1.02,2.06,3,0.51,30,3,2.5,0.00,965
Vegetable Soups,Lentil Soup,4.59,26.61,10.42,186,14.21,2.38,12.4,26.61,0.00,1.47,2.26,0.59,4.59,0.00,87.28,1305,1713,138.7,0.00,625
Vegetable Soups,Miso Soup,3.36,7.78,6.02,84,5.88,2.59,1.9,7.78,0.00,1.09,1.39,0.62,3.36,0.00,25.33,867,3233,63.3,0.00,998
Vegetable Soups,Mixed Beans Soup,1.48,21.63,8.43,129,15.43,2.57,6.2,21.63,0.00,0.50,0.33,0.43,1.48,5,88.81,1665,185,175.8,0.00,248
Vegetable Soups,Potato Soup,3.56,14.25,3.73,105,13.75,5.22,0.5,14.25,0.00,0.87,0.47,1.95,3.56,10,2.92,554,306,0.00,0.00,1020
Vegetable Soups,Pumpkin Soup,6.11,10.99,2.90,104,8.09,4.16,2.9,10.99,0.00,1.65,0.25,3.78,6.11,13,1.52,34,781,4.9,0.00,1708
Vegetable Soups,Split Pea Soup,2.92,26.50,8.60,165,21.50,8.15,5.0,26.50,0.00,1.00,0.38,1.40,2.92,0.00,1.95,28,10,1.8,0.00,918
Vegetable Soups,Tomato Soup,2.93,17.93,3.05,102,16.93,10.54,1.0,17.93,0.00,0.73,0.99,0.99,2.93,5,1.76,49,34,66.4,0.00,705
Vegetable Soups,Vegetable Soup,1.93,11.98,2.12,72,11.28,3.83,0.7,11.98,0.00,0.83,0.72,0.29,1.93,0.00,6.36,141,1017,8.5,0.00,827
Vegetable Soups,Vegetable Soup (Low Sodium),0.76,12.14,2.02,56,11.64,4.05,0.5,12.14,0.00,0.08,0.09,0.50,0.76,0.00,0.63,53,10,6.1,0.00,132
Meat Soups,Beef Barley Soup,2.06,23.01,6.68,135,18.11,1.53,4.9,23.01,0.00,0.83,0.36,0.65,2.06,6,1.39,27,104,5.4,0.00,491
Meat Soups,Beef Rice Soup,3.08,11.42,8.24,108,10.92,0.67,0.5,11.42,0.00,1.29,0.16,1.20,3.08,14,4.19,66,197,2.5,0.00,981
Meat Soups,Chicken Soup,2.61,1.88,11.09,78,1.88,0.88,0.00,1.88,0.00,1.18,0.55,0.78,2.61,3,1.03,15,0.00,0.00,0.00,1571
Meat Soups,Chicken Soup with Dumplings,5.52,6.05,5.62,96,5.55,0.55,0.5,6.05,0.00,2.53,1.30,1.31,5.52,34,3.67,99,184,0.00,0.00,863
Meat Soups,Chicken Tortilla Soup,3.01,16.01,8.02,121,13.51,2.20,2.5,16.01,0.00,1.17,0.67,0.92,3.01,13,0.99,50,11,4.6,0.00,267
Meat Soups,Chicken Vegetable Soup,2.84,8.58,3.62,75,7.58,1.30,1.0,8.58,0.00,1.28,0.60,0.84,2.84,10,0.87,17,101,1.0,0.00,945
Meat Soups,Chili Beef Soup,6.60,21.45,6.70,170,11.95,7.22,9.5,21.45,0.00,2.80,0.28,3.35,6.60,12,2.13,43,75,4.0,0.00,1035
Meat Soups,Chunky Beef Soup,5.14,19.56,11.74,170,18.16,1.94,1.4,19.56,0.00,2.14,0.22,2.54,5.14,14,2.33,31,130,7.0,0.00,866
Meat Soups,Chunky Chicken Soup,6.34,16.51,12.14,170,15.11,2.09,1.4,16.51,0.00,2.83,1.32,1.90,6.34,29,1.66,24,65,1.2,0.00,850
Meat Soups,Chunky Turkey Soup,4.41,14.07,10.22,135,14.07,0.00,0.00,14.07,0.00,1.77,1.09,1.23,4.41,9,1.91,50,359,6.4,0.00,923
Meat Soups,Italian Wedding Soup,7.64,15.91,13.86,190,14.21,3.54,1.7,15.91,0.00,3.07,0.52,2.71,7.64,39,36.31,1596,2434,91.8,0.00,891
Meat Soups,Taco Soup,5.32,20.07,18.52,197,15.27,3.14,4.8,20.07,0.22,1.59,0.55,1.69,5.32,41,4.30,74,14,27.0,0.00,389
Meat Soups,Tomato Beef Soup,4.29,21.15,4.47,139,19.65,0.71,1.5,21.15,0.00,1.73,0.68,1.59,4.29,5,1.12,17,29,0.00,0.00,917
Meat Soups,Turkey Vegetable Soup,6.08,17.34,6.20,148,16.14,2.68,1.2,17.34,0.00,2.66,1.35,1.80,6.08,2,1.53,34,261,0.00,0.00,1818
Meat Soups,Vegetable Beef Soup,1.90,10.17,5.59,78,8.17,1.12,2.0,10.17,0.00,0.80,0.11,0.85,1.90,5,6.66,116,1158,14.5,0.00,795
Meat Soups,Vegetable Chicken Rice Soup,2.36,7.86,3.57,67,6.86,1.04,1.0,7.86,0.00,1.10,0.51,0.65,2.36,10,0.82,17,63,0.5,0.00,880
Meat Soups,Won Ton Soup (Wonton),7.06,14.24,14.17,181,13.24,0.70,1.0,14.24,0.00,3.00,0.98,2.28,7.06,53,65.94,1337,2584,124.7,0.00,769
Noodle Soups,Beef Noodle Soup,3.07,8.98,4.83,83,8.28,2.59,0.7,8.98,0.00,1.24,0.49,1.14,3.07,5,6.51,101,87,1.4,0.00,954
Noodle Soups,Chicken Noodle Soup,2.39,7.40,3.18,65,7.40,1.06,0.00,7.40,0.00,1.05,0.66,0.66,2.39,14,9.74,85,297,0.00,0.00,868
Noodle Soups,Chunky Chicken Noodle Soup,6.00,17.04,12.72,175,13.24,1.56,3.8,17.04,0.00,2.66,1.51,1.39,6.00,19,1.44,24,67,0.00,0.00,850
Noodle Soups,Egg Drop Soup,3.83,1.10,7.52,73,1.10,0.90,0.00,1.10,0.00,1.52,0.59,1.15,3.83,102,3.78,110,207,0.00,0.00,730
Noodle Soups,Instant Noodle Soup,0.84,7.32,2.16,46,6.82,0.43,0.5,7.32,0.00,0.32,0.18,0.26,0.84,7,0.63,23,14,0.5,0.00,758
Noodle Soups,Minestrone Soup,2.81,20.74,5.11,127,14.94,5.21,5.8,20.74,0.00,0.91,0.26,1.49,2.81,5,1.78,60,214,4.8,0.00,864
Noodle Soups,Turkey Noodle Soup,2.00,8.64,3.90,68,7.94,0.51,0.7,8.64,0.00,0.80,0.49,0.55,2.00,5,5.64,87,101,1.4,0.00,817
Noodle Soups,Vegetable Noodle Soup,1.93,11.98,2.12,72,11.28,3.83,0.7,11.98,0.00,0.83,0.72,0.29,1.93,0.00,6.36,141,1017,8.5,0.00,827
Creamed Soups,Cream of Asparagus Soup,5.36,13.69,4.34,119,13.19,4.09,0.5,13.69,0.00,1.28,1.91,1.79,5.36,10,4.89,608,370,14.8,0.00,1017
Creamed Soups,Cream of Cauliflower Soup,11.80,15.38,7.54,196,13.88,10.09,1.5,15.38,0.00,4.71,2.63,3.74,11.80,12,1.61,692,515,68.4,0.00,273
Creamed Soups,Cream of Celery Soup,6.78,11.61,3.64,120,10.91,4.81,0.7,11.61,0.00,1.61,2.55,2.13,6.78,17,3.79,671,335,1.5,0.00,969
Creamed Soups,Cream of Chicken Soup,14.48,17.97,5.97,223,17.97,1.36,0.00,17.97,0.00,5.13,2.63,4.02,14.48,20,2.66,35,108,0.3,0.00,1644
Creamed Soups,Cream of Leek Soup,7.74,18.82,6.80,171,18.32,10.89,0.5,18.82,0.00,2.75,1.58,2.96,7.74,25,4.03,1060,552,7.5,0.00,1004
Creamed Soups,Cream of Mushroom Soup,14.78,16.87,4.04,213,16.87,3.66,0.00,16.87,0.00,2.79,3.60,3.46,14.78,0.00,2.79,30,20,0.00,0.00,1619
Creamed Soups,Cream of Shrimp Soup,7.20,10.96,4.76,127,10.76,4.22,0.2,10.96,0.00,2.07,0.27,4.48,7.20,27,3.35,539,262,2.9,0.00,998
Bisques,Lobster Bisque,12.77,12.67,20.01,248,12.47,9.92,0.2,12.67,0.00,5.16,2.78,3.97,12.77,62,6.74,3757,2765,3.5,0.00,848
Bisques,Tomato Bisque,5.01,47.47,4.52,247,45.37,0.00,2.1,47.47,0.00,1.36,2.24,1.08,5.01,10,1.64,80,82,11.8,0.00,2097
